id,tempat,sinonim 1,sinonim 2, sinonim 3,sinonim 4,sinonim 5
0,Jalan Ahmad Yani - Wonocolo,a yani,DBL,Grapen,Graha pena,taman pelangi
1,Jalan Ahmad Yani - Gayungan,stasiun wonokrom,,,,
2,Jalan Stasiun - Wonokromo,ngagel,,,,
3,Jalan Ngagel - Wonokromo,pasar,,,,
4,Jalan Pasar - Kembang Sawahan,arjuna,,,,
5,Jalan Arjuno - Sawahan,sulawesii,,,,
6,Jalan Sulawesi - Gubeng,gubeng,,,,
7,Jalan Gubeng - Gubeng,sumatra,,,,
8,Jalan Biliton - Gubeng,biliton,,,,
9,Jalan Sumatra - Gubeng,diponegoro,,,,
10,Jalan Diponegoro - Tegalsari,tembok dukuh,,,,
11,Jalan Diponegoro - Wonokromo,kalibutuh,,,,
12,Jalan Tembok Dukuh - Bubutan,kusuma bangsa,,,,
13,Jalan Kalibutuh - Bubutan,stasiun gubeng,,,,
14,Jalan Kusuma Bangsa - Genteng,tambak osowilangun,,,,
15,Jalan Stasiun Gubeng - Genteng,jakarta,,,,
16,Jalan Kapasari - Genteng,kapasari,,,,
17,Jalan Jakarta - Pabean Cantian,perak timur,,,,
18,Jalan Perak Timur - Pabean Cantian,perak barat,,,,
19,Jalan Perak Barat - Pabean Cantian,ikan dorang,,,,
20,Jalan Perak Barat - Krembangan,ikan kakap,,,,
21,Jalan Ikan Dorang - Krembangan,gresik,,,,
22,Jalan Ikan Kakap - Krembangan,gadukan,,,,
23,Jalan Gresik (Gadukan) - Krembangan,kalianak,,,,
24,Jalan Kalianak - Krembangan,krembangan,,,,
25,Jalan Krembangan - Krembangan,kali anak,,,,
26,Jalan Kalianak - Asemrowo,,,,,
27,Jalan Tambak Osowilangun - Asemrowo,,,,,
28,Jalan Tambak Osowilangun - Benowo,,,,,
29,Jalan Kedung Cowek - Kenjeran,,,,,
30,Jalan Sidorame - Semampir,,,,,
31,Jalan Sultan Iskandar Muda (Eks. Danakarya) - Semampir,,,,,
32,Jalan Hang Tuah - Semampir,,,,,
33,Jalan Jakarta (Eks. Sarwajala) - Semampir,,,,,
34,Jalan Simokerto - Simokerto,,,,,
35,Jalan Kenjeran - Simokerto,,,,,
36,Jalan Mastrip - Karangpilang,pom mastrip,polsek mastrip,,,
37,Jalan Mastrip - Wiyung,,,,,
38,Jalan Gunungsari - Dukuh Pakis,kodam,CW,,,
39,Jalan Joyoboyo - Wonokromo,,,,,
40,Jalan Menganti - Wiyung,babatan,mcd wiyung,gacoan,lakar,lidah
41,Jalan Hayam Wuruk - Wonokromo,,,,,
42,Jalan Gajah Mada - Wonokromo,,,,,
43,Jalan Adityawarman - Wonokromo,,,,,
44,Jalan Ciliwung - Wonokromo,,,,,
45,Jalan Kutai - Wonokromo,,,,,
46,Jalan Indragiri - Wonokromo,,,,,
47,Jalan Pulo Wonokromo - Wonokromo,,,,,
48,Jalan Pagesangan - Jambangan,,,,,
49,Jalan Jambangan - Jambangan,,,,,
50,Jalan Karah - Jambangan,,,,,
51,Jalan Karah Agung - Jambangan,,,,,
52,Jalan Kebon Agung - Jambangan,,,,,
53,Jalan Gayung Kebonsari - Gayungan,,,,,
54,Jalan Gayungan PTT - Gayungan,,,,,
55,Jalan Dukuh Menanggal - Gayungan,,,,,
56,Jalan Ketintang - Gayungan,Ketintang,,,,
57,Jalan Siwalankerto - Wonocolo,,,,,
58,Jalan Siwalankerto Timur - Wonocolo,,,,,
